10.1.7.254 CSIE-Core
10.1.0.21 B1-B02-1
10.1.0.22 B1-B02-2
10.1.1.8 1F-B
10.1.1.13 1F-A
10.1.2.8 2F-B
10.1.2.15 2F-A
10.1.3.19 3F-A
10.1.3.26 3F-B
10.1.4.26 4F-B
10.1.4.39 4F-A
10.1.5.19 5F-A
10.1.5.26 5F-B
10.1.6.102 A-02
10.1.6.103 A-03
10.1.6.106 A-06
10.1.6.107 A-07
10.1.6.108 A-08
10.1.6.109 A-09
10.1.6.110 A-10
10.1.6.111 A-11
10.1.6.112 A-12
10.1.6.203 B-03
10.1.6.204 B-04
10.1.6.205 B-05
10.1.6.206 B-06
10.1.6.207 B-07
10.1.6.208 B-08
10.1.6.209 B-09
10.1.6.210 B-10
10.1.6.211 B-11
10.1.6.101 215Core
10.1.7.253 CSIE-Private
10.1.2.18 wireless-OLD
10.1.2.23 wireless-NEW
